iter	Logloss
0	0.4796870466
1	0.3457907471
2	0.2369101643
3	0.1652202921
4	0.1159548634
5	0.08376977629
6	0.06246671974
7	0.04600263603
8	0.03679645081
9	0.03042407344
10	0.02617492428
11	0.02138613177
12	0.01884601835
13	0.01597145421
14	0.01536537664
15	0.01383726614
16	0.01348670016
17	0.01260552866
18	0.01248663709
19	0.01242611821
20	0.01237290026
21	0.01235779919
22	0.0122971507
23	0.01226550579
24	0.01217620618
25	0.01193231002
26	0.01189741223
27	0.01184300983
28	0.01181020784
29	0.01176737308
30	0.01173532373
31	0.01154910657
32	0.01139201456
33	0.0113331114
34	0.01129820038
35	0.01125394709
36	0.01121615646
37	0.0111572223
38	0.01109516925
39	0.01105681398
40	0.01101519547
41	0.01097879369
42	0.01081119693
43	0.01076749985
44	0.01071561381
45	0.01069077491
46	0.01021649526
47	0.01015174763
48	0.009999151677
49	0.00993785846
50	0.009889224733
51	0.009822842954
52	0.009768582568
53	0.00975004771
54	0.009599149319
55	0.009581321562
56	0.00954287025
57	0.009510728668
58	0.009494959434
59	0.009462922935
60	0.009401984342
61	0.009385476516
62	0.009074661544
63	0.009059172783
64	0.009036583225
65	0.009018560922
66	0.008991636649
67	0.00893692848
68	0.008914583355
69	0.008887869846
70	0.008865222096
71	0.008832620371
72	0.008797093243
73	0.008755013319
74	0.008327569811
75	0.008290023351
76	0.00825104187
77	0.008218615205
78	0.008196766212
79	0.008097057308
80	0.008059231367
81	0.007958671722
82	0.007940944173
83	0.007912107938
84	0.007861411744
85	0.00783659667
86	0.007795444978
87	0.007780095968
88	0.007759640868
89	0.007749672092
90	0.007626286155
91	0.007175947645
92	0.00715421291
93	0.00708430056
94	0.007029560998
95	0.006998923098
96	0.006968411594
97	0.006942491916
98	0.006891787646
99	0.006876314025
